epoch,host_mem_available_bytes,host_swap_used_bytes,parser_current_bytes,parser_peak_bytes,worker_1_current_bytes,worker_1_peak_bytes,worker_2_current_bytes,worker_2_peak_bytes,worker_3_current_bytes,worker_3_peak_bytes,worker_4_current_bytes,worker_4_peak_bytes
1788152665,8734208000,0,8385789952,9370312704,45252608,47005696,45371392,47026176,45395968,47157248,45334528,47128576
1788152667,8808374272,0,8385855488,9370312704,45195264,47005696,45322240,47026176,45350912,47157248,45334528,47128576
1788152669,8833912832,0,8385847296,9370312704,45260800,47005696,45359104,47026176,45502464,47157248,45330432,47128576
1788152671,8850235392,0,8385798144,9370312704,45281280,47005696,45346816,47026176,45408256,47157248,45330432,47128576
1788152673,8789905408,0,8548708352,9370312704,45334528,47005696,45391872,47026176,45473792,47157248,45404160,47128576
1788152675,8454262784,0,8878579712,9370312704,45322240,47005696,45334528,47026176,45355008,47157248,45346816,47128576
1788152677,8121085952,0,9080401920,9370312704,45211648,47005696,45326336,47026176,45400064,47157248,45367296,47128576
1788152679,7981334528,0,9199812608,9370312704,45199360,47005696,45338624,47026176,45522944,47157248,45371392,47128576
1788152681,8001757184,0,9199206400,9370312704,45203456,47005696,45330432,47026176,45395968,47157248,45379584,47128576
1788152684,7974719488,0,9199329280,9370312704,45260800,47005696,45334528,47026176,45510656,47157248,45326336,47128576
1788152686,8008114176,0,9199149056,9370312704,45244416,47005696,45334528,47026176,45408256,47157248,45330432,47128576
1788152688,8063451136,0,9199308800,9370312704,45318144,47005696,45281280,47026176,45342720,47157248,45330432,47128576
1788152690,7883509760,0,9608863744,9675825152,45203456,47005696,45342720,47026176,45355008,47157248,45379584,47128576
1788152692,7843893248,0,9434996736,9675825152,45195264,47005696,45326336,47026176,45355008,47157248,45379584,47128576
1788152694,7989747712,0,9239961600,9675825152,45342720,47005696,45281280,47026176,45502464,47157248,45322240,47128576
1788152696,7866966016,0,9376247808,9675825152,45264896,47005696,45330432,47026176,45412352,47157248,45375488,47128576
1788152698,7968456704,0,9410756608,9675825152,45199360,47005696,45289472,47026176,45400064,47157248,45359104,47128576
1788152700,6824226816,0,10399784960,10541002752,45207552,47005696,45281280,47026176,45342720,47157248,45326336,47128576
1788152702,6705274880,0,10586378240,10594181120,45211648,47005696,45342720,47026176,45473792,47157248,45334528,47128576
1788152704,6429315072,0,10497118208,10951856128,45264896,47005696,45289472,47144960,45408256,47157248,45383680,47128576
1788152707,6722400256,0,10373984256,10951856128,45256704,47005696,45379584,47144960,45346816,47157248,45322240,47128576
1788152709,6252138496,0,10979176448,11404345344,45195264,47005696,45338624,47144960,45510656,47157248,45383680,47128576
1788152711,6734176256,0,10533314560,11404345344,45268992,47005696,45281280,47144960,45494272,47157248,45330432,47128576
1788152713,6359945216,0,10746470400,11404345344,45379584,47005696,45408256,47144960,45400064,47157248,45379584,47128576
1788152716,6505779200,0,10762919936,11434000384,45252608,47005696,45330432,47144960,45342720,47157248,45330432,47128576
1788152718,6696517632,0,10582753280,11434000384,45297664,47005696,45338624,47144960,45375488,47157248,45453312,47128576
1788152720,6629670912,0,10680135680,11434000384,45195264,47005696,45342720,47144960,45490176,47157248,45379584,47128576
1788152722,6281601024,0,10690260992,11482517504,45256704,47005696,45400064,47144960,45436928,47157248,45383680,47128576
1788152724,6530621440,0,10666262528,11482517504,45207552,47005696,45342720,47144960,45350912,47157248,45375488,47128576
1788152727,6519574528,0,10689187840,11482517504,45199360,47005696,45535232,47144960,45342720,47157248,45322240,47128576
1788152729,6718926848,0,10791940096,11482517504,45199360,47005696,45330432,47144960,45355008,47157248,45326336,47128576
1788152731,6641717248,0,10667991040,11482517504,45252608,47005696,45350912,47144960,45412352,47157248,45400064,47128576
1788152733,6699917312,0,10585264128,11482517504,45207552,47005696,45301760,47144960,45350912,47157248,45395968,47128576
1788152734,6659334144,0,10588241920,11482517504,45195264,47005696,45289472,47144960,45543424,47194112,45326336,47128576
1788152736,6686781440,0,10591981568,11482517504,45256704,47005696,45346816,47144960,45408256,47194112,45391872,47128576
1788152738,6676881408,0,10594209792,11482517504,45469696,47005696,45285376,47144960,45400064,47194112,45379584,47128576
